target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id
1792797,1793457,376132,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4079750,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4164337,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4049417,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,440814,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,435613,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,376938,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4131595,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792373,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,4377,0,-5,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,198075,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,134453,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,373478,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4223947,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792368,1,NA,NA,NA,NA,NA,NA,NA,16,16,4013,6697,-5,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,433450,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,141323,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,74189,2,NA,NA,NA,NA,NA,NA,NA,819,16,230127,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,373478,2,71734589079535.8,0.0286051608181276,NA,NA,NA,31.9039941611505,NA,819,16,229419,6697,-5,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,134765,2,NA,NA,NA,NA,NA,NA,NA,819,16,230127,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,201792,2,NA,NA,NA,NA,NA,NA,NA,819,16,230127,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,72576,2,NA,NA,NA,NA,NA,NA,NA,819,16,230127,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,139902,2,105049314929394,0.0118571328024245,NA,NA,NA,32.2854510218217,NA,819,16,229825,6697,-5,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792368,2,67105282504275.3,0.181938445899858,NA,NA,NA,31.8372838826536,NA,819,16,227838,6697,18,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,381444,2,NA,NA,NA,NA,NA,NA,NA,819,16,230127,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792371,2,0.112610634955183,0.0179445522767227,2.16797497627248,0.0741715170412145,NA,-2.18381911875626,1.2230485568771,819,16,229986,4377,5,-5,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,436100,2,NA,NA,NA,NA,NA,NA,NA,819,16,229844,6697,-5,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,140362,2,NA,NA,NA,NA,NA,NA,NA,819,16,230127,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,138463,2,NA,NA,NA,NA,NA,NA,NA,819,16,230127,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,433440,2,NA,NA,NA,NA,NA,NA,NA,819,16,229479,6697,-5,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,194997,2,NA,NA,NA,NA,NA,NA,NA,819,16,229796,6697,-5,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4164337,2,75222482245574.7,0.0576732209809281,NA,NA,NA,31.9514712682345,NA,819,16,228608,6697,7,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792369,2,0.195426324557331,0.0695266092278065,0.815900961445618,0.00935721574152831,NA,-1.63257182706921,0.62822160263199,819,16,223795,4251,30,-5,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4108467,2,NA,NA,NA,NA,NA,NA,NA,819,16,230127,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792367,2,0.283012175499824,0.103297346965968,1.16750259378304,0.0413105911740676,NA,-1.26226535929678,0.61863649978682,819,16,223466,4251,44,-5,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,380395,2,NA,NA,NA,NA,NA,NA,NA,819,16,230127,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
